,actual,predicted,dumb
0,9.0,9.0,7
1,9.0,9.0,7
2,10.0,9.0,7
3,9.0,10.0,7
4,8.0,9.0,7
5,1.0,1.0,7
6,0.0,2.0,7
7,8.0,10.0,7
8,7.0,9.0,7
9,10.0,9.0,7
10,9.0,9.0,7
11,1.0,2.0,7
12,10.0,9.0,7
13,9.0,9.0,7
14,1.0,1.0,7
15,8.0,9.0,7
16,10.0,9.0,7
17,0.0,1.0,7
18,10.0,9.0,7
19,0.0,2.0,7
20,9.0,9.0,7
21,10.0,9.0,7
22,0.0,1.0,7
23,0.0,1.0,7
24,0.0,5.0,7
25,10.0,9.0,7
26,1.0,2.0,7
27,0.0,1.0,7
28,4.0,2.0,7
29,7.0,9.0,7
30,4.0,1.0,7
31,9.0,9.0,7
32,10.0,10.0,7
33,6.0,6.0,7
34,9.0,9.0,7
35,8.0,10.0,7
36,10.0,10.0,7
37,10.0,9.0,7
38,6.0,9.0,7
39,9.0,9.0,7
40,10.0,9.0,7
41,10.0,9.0,7
42,3.0,2.0,7
43,0.0,2.0,7
44,0.0,2.0,7
45,10.0,9.0,7
46,10.0,9.0,7
47,7.0,9.0,7
48,10.0,9.0,7
49,10.0,9.0,7
50,8.0,9.0,7
51,7.0,9.0,7
52,10.0,9.0,7
53,10.0,10.0,7
54,4.0,2.0,7
55,0.0,1.0,7
56,10.0,9.0,7
57,1.0,2.0,7
58,8.0,9.0,7
59,5.0,1.0,7
60,10.0,6.0,7
61,8.0,9.0,7
62,10.0,10.0,7
63,9.0,9.0,7
64,0.0,1.0,7
65,10.0,9.0,7
66,10.0,9.0,7
67,10.0,9.0,7
68,2.0,1.0,7
69,10.0,9.0,7
70,10.0,10.0,7
71,10.0,10.0,7
72,10.0,10.0,7
73,10.0,10.0,7
74,10.0,9.0,7
75,1.0,4.0,7
76,10.0,9.0,7
77,0.0,1.0,7
78,7.0,7.0,7
79,10.0,6.0,7
80,10.0,9.0,7
81,8.0,9.0,7
82,10.0,8.0,7
83,8.0,9.0,7
84,10.0,6.0,7
85,10.0,9.0,7
86,0.0,2.0,7
87,10.0,9.0,7
88,10.0,9.0,7
89,10.0,9.0,7
90,8.0,9.0,7
91,8.0,9.0,7
92,10.0,9.0,7
93,10.0,10.0,7
94,5.0,2.0,7
95,7.0,9.0,7
96,10.0,10.0,7
97,10.0,9.0,7
98,0.0,2.0,7
99,0.0,1.0,7
100,9.0,9.0,7
101,9.0,9.0,7
102,9.0,9.0,7
103,1.0,1.0,7
104,0.0,1.0,7
105,10.0,6.0,7
106,1.0,6.0,7
107,10.0,10.0,7
108,8.0,10.0,7
109,0.0,6.0,7
110,9.0,9.0,7
111,7.0,9.0,7
112,6.0,9.0,7
113,10.0,9.0,7
114,6.0,9.0,7
115,10.0,9.0,7
116,10.0,9.0,7
117,4.0,4.0,7
118,10.0,9.0,7
119,10.0,9.0,7
120,0.0,3.0,7
121,4.0,2.0,7
122,10.0,9.0,7
123,10.0,9.0,7
124,10.0,9.0,7
125,9.0,9.0,7
126,9.0,9.0,7
127,3.0,2.0,7
128,9.0,9.0,7
129,0.0,1.0,7
130,10.0,9.0,7
131,10.0,9.0,7
132,10.0,9.0,7
133,0.0,2.0,7
134,10.0,9.0,7
135,10.0,9.0,7
136,10.0,9.0,7
137,9.0,9.0,7
138,0.0,2.0,7
139,10.0,9.0,7
140,0.0,1.0,7
141,9.0,9.0,7
142,3.0,2.0,7
143,9.0,9.0,7
144,10.0,9.0,7
145,3.0,1.0,7
146,10.0,9.0,7
147,0.0,2.0,7
148,9.0,9.0,7
149,9.0,9.0,7
150,10.0,9.0,7
151,10.0,9.0,7
152,10.0,9.0,7
153,0.0,1.0,7
154,0.0,5.0,7
155,10.0,9.0,7
156,10.0,9.0,7
157,9.0,9.0,7
158,10.0,9.0,7
159,2.0,3.0,7
160,9.0,9.0,7
161,7.0,8.0,7
162,10.0,10.0,7
163,9.0,9.0,7
164,9.0,9.0,7
165,10.0,9.0,7
166,1.0,1.0,7
167,9.0,9.0,7
168,10.0,9.0,7
169,2.0,1.0,7
170,10.0,9.0,7
171,10.0,9.0,7
172,10.0,9.0,7
173,9.0,9.0,7
174,10.0,8.0,7
175,10.0,9.0,7
176,10.0,9.0,7
177,8.0,9.0,7
178,10.0,10.0,7
179,10.0,9.0,7
180,3.0,2.0,7
181,7.0,9.0,7
182,10.0,9.0,7
183,0.0,1.0,7
184,2.0,2.0,7
185,9.0,8.0,7
186,10.0,9.0,7
187,10.0,9.0,7
188,2.0,2.0,7
189,0.0,2.0,7
190,10.0,9.0,7
